"","sample","treename","in_final_tree","in_all_tree","in_internal_tree","type","dataType","inTopoConstraint","type2","reason"
"42","UMMZ_244210_ct_nuch","Ctenophorus_nuchalis",TRUE,TRUE,TRUE,"rablab_rapid","genomic",TRUE,"new","inTopoConstraint"
"43","UMMZ_244212_ct_reti","Ctenophorus_reticulatus",TRUE,TRUE,TRUE,"rablab_rapid","genomic",TRUE,"new","inTopoConstraint"
"44","UMMZ_244218_ct_scut","Ctenophorus_scutulatus",TRUE,TRUE,TRUE,"rablab_rapid","genomic",TRUE,"new","inTopoConstraint"
"45","UMMZ_242571_Di_lall","Diporiphora_lalliae",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"46","CUMV_14268_Di_winn","Diporiphora_winneckei",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"47","lsuhc9427","Draco_blanfordii",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"48","kufs320","Draco_maculatus",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"49","elr1338","Draco_spilopterus",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"50","MVZ_Herp_239464","Draco_walkeri",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"51","AMSR122474","Hypsilurus_magnus",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"52","rmb9384","Gonocephalus_interruptus",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"53","rmb8061","Gonocephalus_sophiae",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"54","UMFS_20601","Gowidon_longirostris",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"55","JAM_848",NA,FALSE,FALSE,FALSE,"10.1093/sysbio/syv058",NA,FALSE,"published","roguenarok"
"56","ABTC90139","Hypsilurus_auritus",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"57","CAS_210725","Leiolepis_belliana",TRUE,TRUE,FALSE,"10.1093/sysbio/syv058","genomic",TRUE,"published","inTopoConstraint"
"58","AMSR122434","Hypsilurus_modestus",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"59","ABTC136665","Hypsilurus_schoedei",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"60","ABTC32057","Intellagama_lesueurii",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"61","CAS_219935","Cristidorsa_planidorsata",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"62","CAS_242183","Diploderma_yunnanense",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"63","CAS_232150","Laudakia_agrorensis",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"64","MVZ_Herp_248402","Laudakia_melanura",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"65","CAS_222087","Xenochrophis_bellulus",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"66","CCM6449","Lophognathus_gilberti",FALSE,TRUE,TRUE,"rablab_sqcl2","imputed",FALSE,"new","bad_quality"
"67","QMJ60630","Lophosaurus_boydii",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"68","AMSR122449","Lophosaurus_dilophus",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"69","AMSR130058","Lophosaurus_spinipes",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"70","AF128494","Lyriocephalus_scutatus",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"71","fmnh262580","Mantheyus_phuwuanensis",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"72","UMMZ_244221_mo_horr","Moloch_horridus",TRUE,TRUE,TRUE,"rablab_rapid","genomic",TRUE,"new","inTopoConstraint"
"73","CAS_232112","Phrynocephalus_luteoguttatus",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"74","MVZ226496","Physignathus_cocincinus",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"75","UMMZ_244225_po_mino","Pogona_minor",TRUE,TRUE,TRUE,"rablab_rapid","genomic",TRUE,"new","inTopoConstraint"
"76","CAS_241965","Pseudocalotes_kingdonwardi",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"77","lsuhc10285","Pseudocalotes_larutensis",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"78","FMNH258710","Pseudocalotes_microlepis",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"79","CAS_227583","Pseudotrapelus_dhofarensis",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"80","CAS_225340","Pseudotrapelus_jensvindumi",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"81","cas220561","Ptyctolaemus_collicristatus",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"82","cas221296","Ptyctolaemus_gularis",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"83","AF12849_1","Salea_horsfieldii",TRUE,TRUE,FALSE,"10.1186/s12862-016-0611-6","genomic",TRUE,"published","inTopoConstraint"
"84","CAS_228565","Trapelus_agilis",TRUE,TRUE,FALSE,"10.1093/sysbio/syv058","genomic",TRUE,"published","inTopoConstraint"
"85","SAMAR38823","Tympanocryptis_lineata",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"86","MVZ241356",NA,FALSE,FALSE,FALSE,"j.ympev.2014.06.013",NA,FALSE,"published","bad_quality"
"87","TJC1334","Xenagama_zonura",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"88","CAS_223962","Namibiana_labialis",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"89","CAS_228522","Eremias_kavirensis",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"90","MVZ_Herp_207360","Ptychoglossus_plicatus",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",FALSE,"new","not_placed"
"91","CHUNB52145","Amphisbaena_alba",TRUE,TRUE,TRUE,"rablab_brazil","genomic",TRUE,"new","inTopoConstraint"
"92","CHUNB38647","Amphisbaena_anaemariae",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"93","CHUNB56884","Amphisbaena_arenaria",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"94","CHUNB52389","Amphisbaena_bedai",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"95","GRCOLLI22387","Amphisbaena_bilabialata",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"96","CAS_232085","Psammophis_leithii",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"97","TMOTT028","Amphisbaena_camura",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"98","GRCOLLI20644","Amphisbaena_crisae",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"99","TMOTT204","Amphisbaena_cuiabana",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"100","MCZ_Herp_R184640","Amphisbaena_hyporissor",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"101","LJVITT10237","Leposternon_infraorbitale",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"102","CHUNB30676","Amphisbaena_kraoh",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"103","LJVITT10240",NA,FALSE,FALSE,FALSE,"rablab_sqcl2",NA,FALSE,"new","roguenarok"
"104","CHUNB38468","Amphisbaena_talisiae",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"105","TMOTT130","Amphisbaena_mertensii",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"106","CHUNB49451","Leposternon_microcephalum",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"107","LJVITT09244","Leposternon_polystegum",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"108","GRCOLLI06458","Amphisbaena_ridleyi",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"109","GRCOLLI22397","Amphisbaena_silvestrii",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"110","CHUNB57520","Amphisbaena_vermicularis",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"111","CAS_234252","Anniella_grinnelli",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"112","SBH_172151","Liotyphlops_albirostris",TRUE,TRUE,FALSE,"10.1016/j.ympev.2016.04.015","genbank",FALSE,"published","not_placed"
"113","MVZ_Herp_164922","Abronia_martindelcampoi",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"114","MVZ_Herp_191074","Abronia_taeniata",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"115","UMMZ_221220","Elgaria_kingii",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"116","MVZ_Herp_207341","Mesaspis_monticola",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"117","MVZ_Herp_143473","Mesaspis_moreletii",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"118","MVZ_Herp_191057","Mesaspis_viridiflava",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"119","CAS195955","Rhineura_floridana",TRUE,TRUE,FALSE,"rsbl20170393","genbank",FALSE,"published","bad_quality"
"120","CCM1826","Gehyra_nana",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"121","TWR_Pr_t","Pristidactylus_torquatus",TRUE,TRUE,FALSE,"10.1093/sysbio/syv058","genomic",TRUE,"published","inTopoConstraint"
"122","CAS_233823","Anniella_alexanderae",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"124","TNHC_55671","Anniella_pulchra",TRUE,TRUE,FALSE,"10.1016/j.ympev.2016.04.015","genomic",TRUE,"published","inTopoConstraint"
"125","MVZ_Herp_228860","Anniella_stebbinsi",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"126","LJA_5806","Phymaturus_palluma",TRUE,TRUE,FALSE,"10.1093/sysbio/syv058","genomic",TRUE,"published","inTopoConstraint"
"127","CHUNB11470","Polychrus_acutirostris",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",FALSE,"new","not_placed"
"128","CHUNB52063","Liotyphlops_ternetzii",TRUE,TRUE,TRUE,"rablab_brazil","genomic",FALSE,"new","not_placed"
"129","CHUNB18599","Alopoglossus_angulatus",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",FALSE,"new","not_placed"
"130","CHUNB37546","Uranoscodon_superciliosus",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"131","CHUNB47014","Anolis_punctatus",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"132","UMFS_10937","Acrantophis_dumerili",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"133","YPM_13584","Tropidophis_haetianus",TRUE,TRUE,FALSE,"10.1016/j.ympev.2016.04.015","genbank",FALSE,"published","not_placed"
"134","CHUNB51969","Kentropyx_calcarata",TRUE,TRUE,TRUE,"rablab_brazil","genomic",TRUE,"new","inTopoConstraint"
"135","UMMZ_242517","Candoia_paulsoni",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"136","UMMZ_239362","Charina_bottae",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"137","UMFS_5610","Chilabothrus_striatus",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"138","UMFS_11342","Corallus_caninus",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"139","CHUNB45362","Corallus_hortulana",TRUE,TRUE,TRUE,"rablab_brazil","genomic",TRUE,"new","inTopoConstraint"
"140","UMFS_11348","Epicrates_cenchria",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"141","ATOL_A103","Eryx_colubrinus",TRUE,TRUE,FALSE,"10.1016/j.ympev.2016.04.015","genomic",TRUE,"published","inTopoConstraint"
"142","UMFS_11535","Eryx_miliaris",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"143","UTA-R_12233","Exiliboa_placata",TRUE,TRUE,FALSE,"10.1016/j.ympev.2016.04.015","genomic",TRUE,"published","inTopoConstraint"
"144","SDSNH_72826","Lichanura_trivirgata",TRUE,TRUE,FALSE,"10.1016/j.ympev.2016.04.015","genomic",TRUE,"published","inTopoConstraint"
"145","UMFS_11004","Sanzinia_madagascariensis",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"146","UTA-R_12239","Ungaliophis_continentalis",TRUE,TRUE,FALSE,"10.1016/j.ympev.2016.04.015","genomic",TRUE,"published","inTopoConstraint"
"147","CHUNB52064","Trilepida_brasiliensis",TRUE,TRUE,TRUE,"rablab_brazil","genomic",TRUE,"new","inTopoConstraint"
"148","TWR_534",NA,FALSE,FALSE,FALSE,"10.1093/sysbio/syv058",NA,FALSE,"published","roguenarok"
"149","CUMV_14291_Ne_vert","Nephrurus_vertebralis",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"150","QMJ64406","Phyllurus_amnicola",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"151","ABTC51012","Phyllurus_platurus",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"152","SAMAR33647","Saltuarius_cornutus",TRUE,TRUE,FALSE,"10.1016/j.ympev.2016.04.015","genomic",TRUE,"published","inTopoConstraint"
"153","CHUNB52077","Micrablepharus_maximiliani",TRUE,TRUE,TRUE,"rablab_rapid","genomic",TRUE,"new","inTopoConstraint"
"154","WAM_R153929","Underwoodisaurus_milii",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"155","CHUNB56575","Lygodactylus_klugei",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"156","MVZ_Herp_264310","Adelphicos_veraepacis",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"157","RAP0517","Ahaetulla_nasuta",TRUE,TRUE,TRUE,"pyron_sqcl2_2","genomic",TRUE,"new","inTopoConstraint"
"158","RS-C","Ahaetulla_pulverulenta",TRUE,TRUE,TRUE,"pyron_sqcl2_2","genomic",TRUE,"new","inTopoConstraint"
"159","CHUNB51429","Apostolepis_albicollaris",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"160","CHUNB62399","Apostolepis_ammodites",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"161","CHUNB69387","Apostolepis_assimilis",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"162","CHUNB52060","Apostolepis_cearensis",TRUE,TRUE,TRUE,"rablab_brazil","genomic",TRUE,"new","inTopoConstraint"
"163","CHUNB50311","Apostolepis_flavotorquata",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"164","GRCOLLI25663","Apostolepis_phillipsae",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"165","CHUNB32061","Apostolepis_polylepis",TRUE,TRUE,TRUE,"rablab_brazil","genomic",TRUE,"new","inTopoConstraint"
"166","I0118",NA,FALSE,FALSE,FALSE,"j.ympev.2017.03.017",NA,FALSE,"published","roguenarok"
"167","UMMZ_200299","Arizona_elegans",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"168","RS-145","Aspidura_ceylonensis",TRUE,TRUE,TRUE,"pyron_sqcl2_2","genomic",TRUE,"new","inTopoConstraint"
"169","RS-M","Aspidura_drummondhayi",TRUE,TRUE,TRUE,"pyron_sqcl2_2","genomic",TRUE,"new","inTopoConstraint"
"170","RAP0437","Aspidura_guentheri",TRUE,TRUE,TRUE,"pyron_sqcl2_2","genomic",TRUE,"new","inTopoConstraint"
"171","RS-U","Aspidura_ravanai",TRUE,TRUE,TRUE,"pyron_sqcl2_2","genomic",TRUE,"new","inTopoConstraint"
"172","RAB_00141","Atractus_elaps",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"173","UMMZ_245046","Atractus_flammigerus",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"174","CHUNB62578","Atractus_pantostictus",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"175","RAB_00465","Atractus_sp",FALSE,TRUE,TRUE,"rablab_sqcl2",NA,FALSE,"new","not_placed"
"176","RS-R","Atretium_schistosum",TRUE,TRUE,TRUE,"pyron_sqcl2_2","genomic",TRUE,"new","inTopoConstraint"
"177","RS-D","Rhabdophis_ceylonensis",TRUE,TRUE,TRUE,"pyron_sqcl2_2","genomic",TRUE,"new","inTopoConstraint"
"178","FTB2881","Bogertophis_rosaliae",TRUE,TRUE,FALSE,"j.ympev.2017.03.017","genomic",TRUE,"published","inTopoConstraint"
"179","FTB2882","Bogertophis_subocularis",TRUE,TRUE,FALSE,"j.ympev.2017.03.017","genomic",TRUE,"published","inTopoConstraint"
"180","RAP0450","Boiga_beddomei",TRUE,TRUE,TRUE,"pyron_sqcl2_2","genomic",TRUE,"new","inTopoConstraint"
"181","RS-Y","Boiga_ceylonensis",TRUE,TRUE,TRUE,"pyron_sqcl2_2","genomic",TRUE,"new","inTopoConstraint"
"182","CAS_210222","Boiga_cyanea",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"183","UMMZ_201906","Boiga_dendrophila",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"184","CAS_247770","Boiga_drapiezii",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"185","RAP0540","Boiga_forsteni",TRUE,TRUE,TRUE,"pyron_sqcl2_2","genomic",TRUE,"new","inTopoConstraint"
"186","UMMZ_242520","Boiga_irregularis",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"187","CAS_205002","Boiga_ochracea",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"188","CAS_221434","Boiga_quincunciata",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"189","CAS_215635","Boiga_siamensis",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"190","RS-143","Boiga_trigonata",TRUE,TRUE,TRUE,"pyron_sqcl2_2","genomic",TRUE,"new","inTopoConstraint"
"191","CHUNB51135","Boiruna_sertaneja",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"192","FK_2439","Borikenophis_portoricensis",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"193","KU322328","Calamaria_bitorques",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"194","KU324645","Calamaria_gervaisii",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"195","KU309920","Calamaria_lumbricoidea",TRUE,TRUE,TRUE,"pyron_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"196","CAS235364","Calamaria_pavimentata",TRUE,TRUE,TRUE,"pyron_sqcl2_2","genomic",TRUE,"new","inTopoConstraint"
"197","UMMZ_209973","Calamaria_septentrionalis",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"198","UMMZ_209970","Carphophis_amoenus",TRUE,TRUE,TRUE,"rablab_sqcl2","genomic",TRUE,"new","inTopoConstraint"
"199","DBS45","Cemophora_coccinea",TRUE,TRUE,FALSE,"j.ympev.2017.03.017","genomic",TRUE,"published","inTopoConstraint"
