sample,species,repDBtaxon,RepDBnotes,remainsUncertain,manualMatch,manualNotes
MCZ_Herp_R194261,Anolis_nelsoni,Anolis nelsoni,exact mapping via accepted,FALSE,,
TJS_222,Anolis_olssoni,Anolis olssoni,exact mapping via accepted,FALSE,,
CHUNB58069,Anolis_ortonii,Anolis ortonii,exact mapping via accepted,FALSE,,
UMMZ_245021,Anolis_osa,Anolis osa,exact mapping via accepted,FALSE,,
MVZ_Herp_263594,Anolis_petersii,Anolis petersii,exact mapping via accepted,FALSE,,
CHUNB47014,Anolis_punctatus,Anolis punctatus,exact mapping via accepted,FALSE,,
MCZ_Herp_R190757,Anolis_rimarum,Anolis rimarum,exact mapping via accepted,FALSE,,
TJC755,Anolis_rodriguezii,Anolis rodriguezii,exact mapping via accepted,FALSE,,
MCZ_Herp_R190775,Anolis_rupinae,Anolis rupinae,exact mapping via accepted,FALSE,,
MVZ_Herp_204055,Anolis_tropidolepis,Anolis tropidolepis,exact mapping via accepted,FALSE,,
AMSR_115249_An_gowi,Anomalopus_gowi,Anomalopus gowi,exact mapping via accepted,FALSE,,
SAMAR_33738_An_leuc,Anomalopus_leuckartii,Anomalopus leuckartii,exact mapping via accepted,FALSE,,
AMSR_98693_An_swan,Anomalopus_swansoni,Anomalopus swansoni,exact mapping via accepted,FALSE,,
NTMR20537,Antaresia_childreni,Antaresia childreni,exact mapping via accepted,FALSE,,
SAMAR46757,Antaresia_maculosa,Antaresia maculosa,exact mapping via accepted,FALSE,,
TJC568,Aparallactus_lunulatus,Aparallactus lunulatus,exact mapping via accepted,FALSE,,
MVZ_Herp_239462,Aphaniotis_acutirostris,Aphaniotis acutirostris,exact mapping via accepted,FALSE,,
UMMZ_201904,Aplopeltura_boa,Aplopeltura boa,exact mapping via accepted,FALSE,,
CHUNB51429,Apostolepis_albicollaris,Apostolepis albicollaris,exact mapping via accepted,FALSE,,
CHUNB62399,Apostolepis_ammodites,Apostolepis ammodites,exact mapping via accepted,FALSE,,
CHUNB69387,Apostolepis_assimilis,Apostolepis assimilis,exact mapping via accepted,FALSE,,
CHUNB52060,Apostolepis_cearensis,Apostolepis cearensis,exact mapping via accepted,FALSE,,
GRCOLLI25663,Apostolepis_phillipsae,Apostolepis phillipsae,exact mapping via accepted,FALSE,,
CHUNB32061,Apostolepis_polylepis,Apostolepis polylepis,exact mapping via accepted,FALSE,,
CHUNB32061,Apostolepis_polylepis,Apostolepis polylepis,exact mapping via accepted,FALSE,,
SAMAR46279,Aprasia_pseudopulchella,Aprasia pseudopulchella,exact mapping via accepted,FALSE,,
WAMR168645,Aprasia_repens,Aprasia repens,exact mapping via accepted,FALSE,,
MCZ_Herp_R190704,Aristelliger_expectatus,Aristelliger expectatus,exact mapping via accepted,FALSE,,
MVZ_Herp_193268,Aristelliger_hechti,Aristelliger hechti,exact mapping via accepted,FALSE,,
GRCOLLI14421,Arthrosaura_reticulata,Arthrosaura reticulata,exact mapping via accepted,FALSE,,
CAS_223956,Aspidelaps_lubricus,Aspidelaps lubricus,exact mapping via accepted,FALSE,,
UMMZ_236558,Aspidites_ramsayi,Aspidites ramsayi,exact mapping via accepted,FALSE,,
UMMZ_242532,Aspidomorphus_lineaticollis,Aspidomorphus lineaticollis,exact mapping via accepted,FALSE,,
FN253940,Aspidoscelis_deppii,Aspidoscelis deppii,exact mapping via accepted,FALSE,,
MVZ_Herp_264331,Aspidoscelis_motaguae,Aspidoscelis motaguae,exact mapping via accepted,FALSE,,
AMNH_R148254,Aspidoscelis_opatae,Aspidoscelis opatae,exact mapping via accepted,FALSE,,
RS-145,Aspidura_ceylonensis,Aspidura ceylonensis,exact mapping via accepted,FALSE,,
RS-M,Aspidura_drummondhayi,Aspidura drummondhayi,exact mapping via accepted,FALSE,,
RAP0437,Aspidura_guentheri,Aspidura guentheri,exact mapping via accepted,FALSE,,
RS-U,Aspidura_ravanai,Aspidura ravanai,exact mapping via accepted,FALSE,,
CHUNB36266,Aspronema_dorsivittatum,Aspronema dorsivittatum,exact mapping via accepted,FALSE,,
UMMZ_209986,Atractaspis_bibronii,Atractaspis bibronii,exact mapping via accepted,FALSE,,
TJC1399,Atractaspis_fallax,Atractaspis fallax,exact mapping via accepted,FALSE,,
RAB_00141,Atractus_elaps,Atractus elaps,exact mapping via accepted,FALSE,,
CHUNB62578,Atractus_pantostictus,Atractus pantostictus,exact mapping via accepted,FALSE,,
RS-R,Atretium_schistosum,Atretium schistosum,exact mapping via accepted,FALSE,,
CHUNB74029,Bachia_bresslaui,Bachia bresslaui,exact mapping via accepted,FALSE,,
UMMZ_245033,Bachia_dorbignyi,Bachia dorbignyi,exact mapping via accepted,FALSE,,
UMMZ_245034,Bachia_trisanale,Bachia trisanale,exact mapping via accepted,FALSE,,
TOMH_86-271,Basiliscus_basiliscus,Basiliscus basiliscus,exact mapping via accepted,FALSE,,
SAMAR21133,Bellatorias_frerei,Bellatorias frerei,exact mapping via accepted,FALSE,,
MVZ236256,Bipes_biporus,Bipes biporus,exact mapping via accepted,FALSE,,
UMMZ_Bipes_canaliculatus,Bipes_canaliculatus,Bipes canaliculatus,exact mapping via accepted,FALSE,,
TJC425,Bitis_arietans,Bitis arietans,exact mapping via accepted,FALSE,,
FTB2881,Bogertophis_rosaliae,Bogertophis rosaliae,exact mapping via accepted,FALSE,,
FTB2882,Bogertophis_subocularis,Bogertophis subocularis,exact mapping via accepted,FALSE,,
RAP0450,Boiga_beddomei,Boiga beddomei,exact mapping via accepted,FALSE,,
RS-Y,Boiga_ceylonensis,Boiga ceylonensis,exact mapping via accepted,FALSE,,
CAS_210222,Boiga_cyanea,Boiga cyanea,exact mapping via accepted,FALSE,,
UMMZ_201906,Boiga_dendrophila,Boiga dendrophila,exact mapping via accepted,FALSE,,
RAP0540,Boiga_forsteni,Boiga forsteni,exact mapping via accepted,FALSE,,
UMMZ_242520,Boiga_irregularis,Boiga irregularis,exact mapping via accepted,FALSE,,
CAS_205002,Boiga_ochracea,Boiga ochracea,exact mapping via accepted,FALSE,,
CAS_221434,Boiga_quincunciata,Boiga quincunciata,exact mapping via accepted,FALSE,,
CAS_215635,Boiga_siamensis,Boiga siamensis,exact mapping via accepted,FALSE,,
RS-143,Boiga_trigonata,Boiga trigonata,exact mapping via accepted,FALSE,,
CHUNB51135,Boiruna_sertaneja,Boiruna sertaneja,exact mapping via accepted,FALSE,,
CHUNB51135,Boiruna_sertaneja,Boiruna sertaneja,exact mapping via accepted,FALSE,,
UMFS_11336,Bothrochilus_albertisii,Bothrochilus albertisii,exact mapping via accepted,FALSE,,
CHUNB44834,Bothrocophias_hyoprora,Bothrocophias hyoprora,exact mapping via accepted,FALSE,,
UMMZ_245084,Bothrops_bilineatus,Bothrops bilineatus,exact mapping via accepted,FALSE,,
GRCOLLI22662,Bothrops_brazili,Bothrops brazili,exact mapping via accepted,FALSE,,
GRCOLLI21978,Bothrops_erythromelas,Bothrops erythromelas,exact mapping via accepted,FALSE,,
CHUNB49450,Bothrops_itapetiningae,Bothrops itapetiningae,exact mapping via accepted,FALSE,,
GRCOLLI22103,Bothrops_leucurus,Bothrops leucurus,exact mapping via accepted,FALSE,,
CHUNB52123,Bothrops_lutzi,Bothrops lutzi,exact mapping via accepted,FALSE,,
CHUNB53313,Bothrops_marmoratus,Bothrops marmoratus,exact mapping via accepted,FALSE,,
CHUNB52373,Bothrops_matogrossensis,Bothrops matogrossensis,exact mapping via accepted,FALSE,,
CHUNB71688,Bothrops_moojeni,Bothrops moojeni,exact mapping via accepted,FALSE,,
CHUNB52124,Bothrops_pauloensis,Bothrops pauloensis,exact mapping via accepted,FALSE,,
UMMZ_245085,Bothrops_taeniatus,Bothrops taeniatus,exact mapping via accepted,FALSE,,
SAMAR52492,Brachyurophis_australis,Brachyurophis australis,exact mapping via accepted,FALSE,,
UMMZ_244194_br_fasc,Brachyurophis_fasciolatus,Brachyurophis fasciolatus,exact mapping via accepted,FALSE,,
UMMZ_242698_Br_rope,Brachyurophis_roperi,Brachyurophis roperi,exact mapping via accepted,FALSE,,
CHUNB40588,Brasiliscincus_agilis,Brasiliscincus agilis,exact mapping via accepted,FALSE,,
CN1637,Brasiliscincus_heathi,Brasiliscincus heathi,exact mapping via accepted,FALSE,,
MVZ_Herp_253996,Bronchocela_jubata,Bronchocela jubata,exact mapping via accepted,FALSE,,
FMNH262309,Bronchocela_smaragdina,Bronchocela smaragdina,exact mapping via accepted,FALSE,,
UMMZ_201916,Bungarus_fasciatus,Bungarus fasciatus,exact mapping via accepted,FALSE,,
UMFS_10682,Bungarus_flaviceps,Bungarus flaviceps,exact mapping via accepted,FALSE,,
CAS_210526,Bungarus_magnimaculatus,Bungarus magnimaculatus,exact mapping via accepted,FALSE,,
SAMAR40865,Cacophis_squamulosus,Cacophis squamulosus,exact mapping via accepted,FALSE,,
UMFS_10995,Calabaria_reinhardtii,Calabaria reinhardtii,exact mapping via accepted,FALSE,,
KU322328,Calamaria_bitorques,Calamaria bitorques,exact mapping via accepted,FALSE,,
KU324645,Calamaria_gervaisii,Calamaria gervaisii,exact mapping via accepted,FALSE,,
KU309920,Calamaria_lumbricoidea,Calamaria lumbricoidea,exact mapping via accepted,FALSE,,
CAS235364,Calamaria_pavimentata,Calamaria pavimentata,exact mapping via accepted,FALSE,,
CAS235364,Calamaria_pavimentata,Calamaria pavimentata,exact mapping via accepted,FALSE,,
UMMZ_209973,Calamaria_septentrionalis,Calamaria septentrionalis,exact mapping via accepted,FALSE,,
MVZ265543,Callisaurus_draconoides,Callisaurus draconoides,exact mapping via accepted,FALSE,,
LGG0003,Callopistes_flavipunctatus,Callopistes flavipunctatus,exact mapping via accepted,FALSE,,
MVZHerp233271,Callopistes_maculatus,Callopistes maculatus,exact mapping via accepted,FALSE,,
CAS_230941,Calotes_emma,Calotes emma,exact mapping via accepted,FALSE,,
dsm869,Calotes_mystaceus,Calotes mystaceus,exact mapping via accepted,FALSE,,
lsuhc10327,Calotes_versicolor,Calotes versicolor,exact mapping via accepted,FALSE,,
NA_ABTC51306_Ca_lepi,Calyptotis_lepidorostrum,Calyptotis lepidorostrum,exact mapping via accepted,FALSE,,
SAMAR_33711_Ca_rufi,Calyptotis_ruficauda,Calyptotis ruficauda,exact mapping via accepted,FALSE,,
QMJ46108,Calyptotis_scutirostrum,Calyptotis scutirostrum,exact mapping via accepted,FALSE,,
UMMZ_242517,Candoia_paulsoni,Candoia paulsoni,exact mapping via accepted,FALSE,,
CCM6582,Carlia_amax,Carlia amax,exact mapping via accepted,FALSE,,
NTMR22724,Carlia_amax,Carlia amax,exact mapping via accepted,FALSE,,
MCZA28608,Carlia_johnstonei,Carlia johnstonei,exact mapping via accepted,FALSE,,
UMMZ_242604_Ca_mund,Carlia_munda,Carlia munda,exact mapping via accepted,FALSE,,
AMSR111510,Carlia_rubrigularis,Carlia rubrigularis,exact mapping via accepted,FALSE,,
SAMAR55779,Carlia_rubrigularis,Carlia rubrigularis,exact mapping via accepted,FALSE,,
MVZ_Herp_249821,Causus_maculatus,Causus maculatus,exact mapping via accepted,FALSE,,
MVZ_Herp_204069,Celestus_cyanochloris,Celestus cyanochloris,exact mapping via accepted,FALSE,,
MCZ_Herp_R193420,Celestus_sepsoides,Celestus sepsoides,exact mapping via accepted,FALSE,,
MCZ_Herp_R190694,Celestus_stenurus,Celestus stenurus,exact mapping via accepted,FALSE,,
AF128491,Ceratophora_aspera,Ceratophora aspera,exact mapping via accepted,FALSE,,
NTMR20845,Cerberus_australis,Cerberus australis,exact mapping via accepted,FALSE,,
CHUNB18028,Cercosaura_eigenmanni,Cercosaura eigenmanni,exact mapping via accepted,FALSE,,
CHUNB50667,Cercosaura_schreibersii,Cercosaura schreibersii,exact mapping via accepted,FALSE,,
MVZ_230099,Chamaeleo_calyptratus,Chamaeleo calyptratus,exact mapping via accepted,FALSE,,
ABTC80828,Chelosania_brunnea,Chelosania brunnea,exact mapping via accepted,FALSE,,
UMFS_5610,Chilabothrus_striatus,Chilabothrus striatus,exact mapping via accepted,FALSE,,
GRCOLLI26131,Chironius_exoletus,Chironius exoletus,exact mapping via accepted,FALSE,,
CHUNB50782,Chironius_laurenti,Chironius laurenti,exact mapping via accepted,FALSE,,
TJC1654,Chironius_monticola,Chironius monticola,exact mapping via accepted,FALSE,,
TJC1166,Chironius_scurrulus,Chironius scurrulus,exact mapping via accepted,FALSE,,
UMMZ_236528,Chlamydosaurus_kingii,Chlamydosaurus kingii,exact mapping via accepted,FALSE,,
RAP0433,Chrysopelea_ornata,Chrysopelea ornata,exact mapping via accepted,FALSE,,
HERP8135,Chrysopelea_pelias,Chrysopelea pelias,exact mapping via accepted,FALSE,,
RAP0538,Chrysopelea_taprobanica,Chrysopelea taprobanica,exact mapping via accepted,FALSE,,
CHUNB64757,Clelia_plumbea,Clelia plumbea,exact mapping via accepted,FALSE,,
LSUHC9244,Cnemaspis_psychedelica,Cnemaspis psychedelica,exact mapping via accepted,FALSE,,
MVZ_Herp_252459,Cnemaspis_spinicollis,Cnemaspis spinicollis,exact mapping via accepted,FALSE,,
FTB2236,Coelognathus_erythrurus,Coelognathus erythrurus,exact mapping via accepted,FALSE,,
UMMZ_201910,Coelognathus_flavolineatus,Coelognathus flavolineatus,exact mapping via accepted,FALSE,,
FTB2924,Coelognathus_helena,Coelognathus helena,exact mapping via accepted,FALSE,,
I0074,Coelognathus_radiatus,Coelognathus radiatus,exact mapping via accepted,FALSE,,
I0071,Coelognathus_subradiatus,Coelognathus subradiatus,exact mapping via accepted,FALSE,,
QMJ_48382_Co_fron,Coeranoscincus_frontalis,Coeranoscincus frontalis,exact mapping via accepted,FALSE,,
SAMAR_37800_Co_reti,Coeranoscincus_reticulatus,Coeranoscincus reticulatus,exact mapping via accepted,FALSE,,
QMJ_59237_Co_nauf,Coggeria_naufragus,Coggeria naufragus,exact mapping via accepted,FALSE,,
CHUNB58532,Coleodactylus_brachystoma,Coleodactylus brachystoma,exact mapping via accepted,FALSE,,
GRCOLLI22107,Coleodactylus_meridionalis,Coleodactylus meridionalis,exact mapping via accepted,FALSE,,
UMMZ_200325,Coleonyx_variegatus,Coleonyx variegatus,exact mapping via accepted,FALSE,,
GRCOLLI26643,Colobosaura_modesta,Colobosaura modesta,exact mapping via accepted,FALSE,,
UMMZ_240711,Coluber_constrictor,Coluber constrictor,exact mapping via accepted,FALSE,,
RAX10277,Compsophis_vinckei,Compsophis vinckei,exact mapping via accepted,FALSE,,
SAMAR_55630_Eu_mart,Concinnia_martini,Concinnia martini,exact mapping via accepted,FALSE,,
TJC933,Coniophanes_imperialis,Coniophanes imperialis,exact mapping via accepted,FALSE,,
TJC781,Coniophanes_schmidti,Coniophanes schmidti,exact mapping via accepted,FALSE,,
UMFS_7743,Contia_tenuis,Contia tenuis,exact mapping via accepted,FALSE,,
LJVMM4517,Contomastix_serrana,Contomastix serrana,exact mapping via accepted,FALSE,,
CHUNB51432,Contomastix_vacariensis,Contomastix vacariensis,exact mapping via accepted,FALSE,,
CHUNB64621,Copeoglossum_arajara,Copeoglossum arajara,exact mapping via accepted,FALSE,,
CHUNB51999,Copeoglossum_nigropunctatum,Copeoglossum nigropunctatum,exact mapping via accepted,FALSE,,
UWBM7347,Cophosaurus_texanus,Cophosaurus texanus,exact mapping via accepted,FALSE,,
MVZ_Herp_252470,Cophoscincopus_simulans,Cophoscincopus simulans,exact mapping via accepted,FALSE,,
AF128493,Cophotis_ceylanica,Cophotis ceylanica,exact mapping via accepted,FALSE,,
UMFS_11342,Corallus_caninus,Corallus caninus,exact mapping via accepted,FALSE,,
AMB6860,Cordylosaurus_subtessellatus,Cordylosaurus subtessellatus,exact mapping via accepted,FALSE,,
TJC564,Cordylus_rivae,Cordylus rivae,exact mapping via accepted,FALSE,,
FTB2891,Coronella_austriaca,Coronella austriaca,exact mapping via accepted,FALSE,,
FTB2884,Coronella_girondica,Coronella girondica,exact mapping via accepted,FALSE,,
UMFS_11250,Corucia_zebrata,Corucia zebrata,exact mapping via accepted,FALSE,,
WL_8961,Corytophanes_cristatus,Corytophanes cristatus,exact mapping via accepted,FALSE,,
TJC811,Corytophanes_hernandesii,Corytophanes hernandesii,exact mapping via accepted,FALSE,,
MVZ241283,Cricosaura_typica,Cricosaura typica,exact mapping via accepted,FALSE,,
CHUNB32614,Crocodilurus_amazonicus,Crocodilurus amazonicus,exact mapping via accepted,FALSE,,
UMMZ_199959,Crotalus_horridus,Crotalus horridus,exact mapping via accepted,FALSE,,
HERP5542,Crotaphopeltis_hippocrepis,Crotaphopeltis hippocrepis,exact mapping via accepted,FALSE,,
TWR_0661,Crotaphytus_collaris,Crotaphytus collaris,exact mapping via accepted,FALSE,,
CCM0667,Cryptoblepharus_juno,Cryptoblepharus juno,exact mapping via accepted,FALSE,,
CCM0391,Cryptoblepharus_metallicus,Cryptoblepharus metallicus,exact mapping via accepted,FALSE,,
CCM5451,Cryptoblepharus_metallicus,Cryptoblepharus metallicus,exact mapping via accepted,FALSE,,
CCM2605,Cryptoblepharus_zoticus,Cryptoblepharus zoticus,exact mapping via accepted,FALSE,,
UMMZ_244210_ct_nuch,Ctenophorus_nuchalis,Ctenophorus nuchalis,exact mapping via accepted,FALSE,,
UMMZ_244212_ct_reti,Ctenophorus_reticulatus,Ctenophorus reticulatus,exact mapping via accepted,FALSE,,
UMMZ_244218_ct_scut,Ctenophorus_scutulatus,Ctenophorus scutulatus,exact mapping via accepted,FALSE,,
MVZ_Herp_162071,Ctenosaura_clarki,Ctenosaura clarki,exact mapping via accepted,FALSE,,
SAMAR_61390_Ct_eucl,Ctenotus_euclae,Ctenotus euclae,exact mapping via accepted,FALSE,,
WAMR_119462_Ct_gemm,Ctenotus_gemmula,Ctenotus gemmula,exact mapping via accepted,FALSE,,
WAMR_121883_Ct_lanc,Ctenotus_lancelini,Ctenotus lancelini,exact mapping via accepted,FALSE,,
WAMR_119962_Ct_pant,Ctenotus_pantherinus,Ctenotus pantherinus,exact mapping via accepted,FALSE,,
WAMR_077870_Ct_scho,Ctenotus_schomburgkii,Ctenotus schomburgkii,exact mapping via accepted,FALSE,,
WAMR_151014_Ct_tant,Ctenotus_tantillus,Ctenotus tantillus,exact mapping via accepted,FALSE,,
SAMAR26399,Cyclodomorphus_melanops,Cyclodomorphus melanops,exact mapping via accepted,FALSE,,
RAP0448,Cylindrophis_maculatus,Cylindrophis maculatus,exact mapping via accepted,FALSE,,
CAS_229794,Cyrtodactylus_brevipalmatus,Cyrtodactylus brevipalmatus,exact mapping via accepted,FALSE,,
QMJ60620,Cyrtodactylus_tuberculatus,Cyrtodactylus tuberculatus,exact mapping via accepted,FALSE,,
TJC1354,Dasypeltis_abyssina,Dasypeltis abyssina,exact mapping via accepted,FALSE,,
UMMZ_244261_de_butl,Delma_butleri,Delma butleri,exact mapping via accepted,FALSE,,
UMMZ_242601_De_tinc,Delma_tincta,Delma tincta,exact mapping via accepted,FALSE,,
SAMAR29954,Demansia_papuensis,Demansia papuensis,exact mapping via accepted,FALSE,,
UMMZ_242524,Dendrelaphis_calligaster,Dendrelaphis calligaster,exact mapping via accepted,FALSE,,
UMMZ_242522,Dendrelaphis_gastrostictus,Dendrelaphis gastrostictus,exact mapping via accepted,FALSE,,
HERP8136,Dendrelaphis_kopsteini,Dendrelaphis kopsteini,exact mapping via accepted,FALSE,,
RAP0477,Dendrelaphis_schokari,Dendrelaphis schokari,exact mapping via accepted,FALSE,,
CAS_214028,Dendrelaphis_subocularis,Dendrelaphis subocularis,exact mapping via accepted,FALSE,,
RAP0492,Dendrelaphis_tristis,Dendrelaphis tristis,exact mapping via accepted,FALSE,,
CAS_208429,Dendrelaphis_walli,Dendrelaphis walli,exact mapping via accepted,FALSE,,
CAS_253289,Dendroaspis_jamesoni,Dendroaspis jamesoni,exact mapping via accepted,FALSE,,
CHUNB40088,Dendrophidion_dendrophis,Dendrophidion dendrophis,exact mapping via accepted,FALSE,,
ABTC32067,Denisonia_devisi,Denisonia devisi,exact mapping via accepted,FALSE,,
UMMZ_202038,Diadophis_punctatus,Diadophis punctatus,exact mapping via accepted,FALSE,,
MUSM26148,Dicrodon_heterolepis,Dicrodon heterolepis,exact mapping via accepted,FALSE,,
UMMZ_244229_di_gran,Diplodactylus_granariensis,Diplodactylus granariensis,exact mapping via accepted,FALSE,,
UMMZ_244232_di_pulc,Diplodactylus_pulcher,Diplodactylus pulcher,exact mapping via accepted,FALSE,,
GRCOLLI22330,Diploglossus_lessonae,Diploglossus lessonae,exact mapping via accepted,FALSE,,
LJAMM-CNP10025,Diplolaemus_darwinii,Diplolaemus darwinii,exact mapping via accepted,FALSE,,
UMMZ_242571_Di_lall,Diporiphora_lalliae,Diporiphora lalliae,exact mapping via accepted,FALSE,,
CUMV_14268_Di_winn,Diporiphora_winneckei,Diporiphora winneckei,exact mapping via accepted,FALSE,,
MVZ_Herp_245373,Dipsadoboa_brevirostris,Dipsadoboa brevirostris,exact mapping via accepted,FALSE,,
CAS_197901,Dipsadoboa_duchesnii,Dipsadoboa duchesnii,exact mapping via accepted,FALSE,,
CAS_254592,Dipsadoboa_underwoodi,Dipsadoboa underwoodi,exact mapping via accepted,FALSE,,
MVZ_Herp_253208,Dipsadoboa_weileri,Dipsadoboa weileri,exact mapping via accepted,FALSE,,
CHUNB40089,Dipsas_catesbyi,Dipsas catesbyi,exact mapping via accepted,FALSE,,
SMG_5515,Dispholidus_typus,Dispholidus typus,exact mapping via accepted,FALSE,,
SAMAR54799,Dixonius_siamensis,Dixonius siamensis,exact mapping via accepted,FALSE,,
CHUNB15199,Dracaena_guianensis,Dracaena guianensis,exact mapping via accepted,FALSE,,
kufs320,Draco_maculatus,Draco maculatus,exact mapping via accepted,FALSE,,
MVZ_Herp_239464,Draco_walkeri,Draco walkeri,exact mapping via accepted,FALSE,,
CHUNB40090,Drepanoides_anomalus,Drepanoides anomalus,exact mapping via accepted,FALSE,,
RAX2331,Dromicodryas_quadrilineatus,Dromicodryas quadrilineatus,exact mapping via accepted,FALSE,,
CHUNB56711,Dryadosaura_nordestina,Dryadosaura nordestina,exact mapping via accepted,FALSE,,
TJC1029,Drymarchon_melanurus,Drymarchon melanurus,exact mapping via accepted,FALSE,,
MVZ_Herp_263379,Drymobius_chloroticus,Drymobius chloroticus,exact mapping via accepted,FALSE,,
